colour	x	xend	y	yend	clickSelects	PANEL
#F8766D	0.0312280705153991	0.0312280705153991	-7.18920726048511	-0.726806118423457	control.vs.carbon.additions	1
#C49A00	0.27027960833434	0.27027960833434	-9.6910180309802	-6.87227631166784	controls.between.experiments	1
#53B400	0.22379401019125	0.22379401019125	-8.14370725322302	-0.435040761169619	controls.between.sites	1
#00C094	0.00922922012969923	0.00922922012969923	-5.94498193074128	-0.774534162826934	dim.C.between.sites	1
#00B6EB	-0.0265956938175805	-0.0265956938175805	-3.89850226150548	-0.00519614663753434	dim.CN.combine.sites	1
#A58AFF	0.00456399586914436	0.00456399586914436	-3.20338555698221	-0.115428881141544	dim.compare.sites	1
#FB61D7	0.0250826812061036	0.0250826812061036	-4.14520806633701	-0.873830696052463	dim.compare.treatments	1
#F8766D	-0.00516478671844891	0.0686855502540384	-4.81949968184914	-4.81949968184914	control.vs.carbon.additions	1
#C49A00	0.0658217375880057	0.474737479080674	-8.28164717132402	-8.28164717132402	controls.between.experiments	1
#53B400	-0.0353439881263271	0.809471148855579	-3.57501178488069	-3.57501178488069	controls.between.sites	1
#00C094	-0.0403379715896328	0.0510462821522907	-3.09249369495059	-3.09249369495059	dim.C.between.sites	1
#00B6EB	-0.0383534848651309	9.19924728980615e-05	-2.61428992959324	-2.61428992959324	dim.CN.combine.sites	1
#A58AFF	-0.00677132517161283	0.0157281955697573	-1.55715510421907	-1.55715510421907	dim.compare.sites	1
#FB61D7	-0.00559643506295067	0.0567665795729587	-3.05119609535962	-3.05119609535962	dim.compare.treatments	1
#F8766D	0.0933351881610951	0.0933351881610951	-11.0421034974591	-3.66322399064908	control.vs.carbon.additions	2
#C49A00	0.621558739243669	0.621558739243669	-11.6126774619317	-10.5905778980001	controls.between.experiments	2
#53B400	0.3094435191119	0.3094435191119	-9.35261137132579	-0.276844284699795	controls.between.sites	2
#00C094	0.0668083264316195	0.0668083264316195	-8.09696101953705	-0.327775773013154	dim.C.between.sites	2
#00B6EB	0.00280874076825436	0.00280874076825436	-2.25657811332905	-0.27431967865279	dim.CN.combine.sites	2
#A58AFF	0.0410094173713252	0.0410094173713252	-7.17406577317066	-1.79935031435151	dim.compare.sites	2
#FB61D7	0.0750342693282964	0.0750342693282964	-9.27108819427377	-3.19451535403918	dim.compare.treatments	2
#F8766D	0.023043692671954	0.138303511307963	-8.10906137543608	-8.10906137543608	control.vs.carbon.additions	2
#C49A00	0.389194984531823	0.853922493955515	-11.1016276799659	-11.1016276799659	controls.between.experiments	2
#53B400	-0.0255580177199072	1.03312164145361	-4.35727492087315	-4.35727492087315	controls.between.sites	2
#00C094	-0.0289671214813665	0.151357025948807	-3.86228480640822	-3.86228480640822	dim.C.between.sites	2
#00B6EB	-0.0182294636855603	0.0426970691270407	-1.22787241608416	-1.22787241608416	dim.CN.combine.sites	2
#A58AFF	0.0148018643549998	0.0689568919656712	-4.5255417985394	-4.5255417985394	dim.compare.sites	2
#FB61D7	0.0203624717590598	0.114274150513879	-6.0086375983465	-6.0086375983465	dim.compare.treatments	2
