y	yend	x	xend	key	showSelected1	PANEL
2	2	-3.43506274978053	-3.42989796306209	all-same	control.vs.carbon.additions C	1
2	2	-3.29734529003854	-3.32750873804915	all-same	control.vs.carbon.additions CN	1
2	2	-3.46214144438423	-3.53082699463826	all-same	control.vs.carbon.additions control	1
2	2	-3.15142821471467	-3.62616569379534	all-same	controls.between.experiments dim	1
2	2	-2.82491098968306	-2.89073272727106	all-same	controls.between.experiments qme	1
2	2	-3.6355647790615	-3.60022079093517	all-same	controls.between.sites GL	1
2	2	-3.63063961721286	-3.62327497595254	all-same	controls.between.sites MC	1
2	2	-3.62307889055035	-3.59777480607325	all-same	controls.between.sites PJ	1
2	2	-3.29602057920196	-3.30816497410897	all-same	controls.between.sites PP	1
2	2	-3.80749529101989	-4.61696643987547	all-same	controls.between.sites glacier_forefield	1
2	2	-3.98757260667907	-4.57673383792773	all-same	controls.between.sites litchfield_island	1
2	2	-3.559228869922	-3.51889089833237	all-same	dim.C.between.sites GL	1
2	2	-3.58160882793922	-3.62546332025968	all-same	dim.C.between.sites MC	1
2	2	-3.48455293495077	-3.46690701258644	all-same	dim.C.between.sites PJ	1
2	2	-3.197070393219	-3.24811667537129	all-same	dim.C.between.sites PP	1
2	2	-3.38124754610589	-3.34289406124076	all-same	dim.CN.combine.sites GL	1
2	2	-3.38008097106917	-3.38017296354207	all-same	dim.CN.combine.sites MC	1
2	2	-3.30373590855522	-3.27028835923831	all-same	dim.CN.combine.sites PJ	1
2	2	-3.23764180805757	-3.20296807449639	all-same	dim.CN.combine.sites PP	1
2	2	-3.46605381826552	-3.45928249309391	all-same	dim.compare.sites GL	1
2	2	-3.48486643403095	-3.49548217881528	all-same	dim.compare.sites MC	1
2	2	-3.41323315104274	-3.41191651933685	all-same	dim.compare.sites PJ	1
2	2	-3.22649942138875	-3.24222761695851	all-same	dim.compare.sites PP	1
2	2	-3.43512884316076	-3.42953240809781	all-same	dim.compare.treatments C	1
2	2	-3.30311772953921	-3.32719562864751	all-same	dim.compare.treatments CN	1
2	2	-3.44635553485894	-3.5031221144319	all-same	dim.compare.treatments control	1
4	4	-3.40685427039013	-3.42989796306209	other-same	control.vs.carbon.additions C	1
4	4	-3.20885037754578	-3.32750873804915	other-same	control.vs.carbon.additions CN	1
4	4	-3.3925234833303	-3.53082699463826	other-same	control.vs.carbon.additions control	1
4	4	-2.77224319983983	-3.62616569379534	other-same	controls.between.experiments dim	1
4	4	-2.50153774273924	-2.89073272727106	other-same	controls.between.experiments qme	1
4	4	-3.62577880865508	-3.60022079093517	other-same	controls.between.sites GL	1
4	4	-3.60847533292241	-3.62327497595254	other-same	controls.between.sites MC	1
4	4	-3.60190284173645	-3.59777480607325	other-same	controls.between.sites PJ	1
4	4	-3.24054504968054	-3.30816497410897	other-same	controls.between.sites PP	1
4	4	-3.58384479842185	-4.61696643987547	other-same	controls.between.sites glacier_forefield	1
4	4	-3.80592787878541	-4.57673383792773	other-same	controls.between.sites litchfield_island	1
4	4	-3.54785801981374	-3.51889089833237	other-same	dim.C.between.sites GL	1
4	4	-3.47410629431088	-3.62546332025968	other-same	dim.C.between.sites MC	1
4	4	-3.45673209628736	-3.46690701258644	other-same	dim.C.between.sites PJ	1
4	4	-3.11344819041134	-3.24811667537129	other-same	dim.C.between.sites PP	1
4	4	-3.36112352492632	-3.34289406124076	other-same	dim.CN.combine.sites GL	1
4	4	-3.33747589441503	-3.38017296354207	other-same	dim.CN.combine.sites MC	1
4	4	-3.2789293326866	-3.27028835923831	other-same	dim.CN.combine.sites PJ	1
4	4	-3.20755974341656	-3.20296807449639	other-same	dim.CN.combine.sites PP	1
4	4	-3.44448062873891	-3.45928249309391	other-same	dim.compare.sites GL	1
4	4	-3.42652528684961	-3.49548217881528	other-same	dim.compare.sites MC	1
4	4	-3.39251233356914	-3.41191651933685	other-same	dim.compare.sites PJ	1
4	4	-3.18135288956159	-3.24222761695851	other-same	dim.compare.sites PP	1
4	4	-3.40916993633875	-3.42953240809781	other-same	dim.compare.treatments C	1
4	4	-3.21292147813363	-3.32719562864751	other-same	dim.compare.treatments CN	1
4	4	-3.41265592871995	-3.5031221144319	other-same	dim.compare.treatments control	1
2	2	0.106165845464953	0.12979298576117	all-same	control.vs.carbon.additions C	2
2	2	0.153949033644707	0.0724095080277273	all-same	control.vs.carbon.additions CN	2
2	2	0.510352653771082	0.14368889756519	all-same	control.vs.carbon.additions control	2
2	2	0.566812886937713	0.0648736622360099	all-same	controls.between.experiments dim	2
2	2	0.250384821006122	0.122323037299286	all-same	controls.between.experiments qme	2
2	2	0.431520080639373	0.64415584821206	all-same	controls.between.sites GL	2
2	2	0.341630446532103	0.383672862166098	all-same	controls.between.sites MC	2
2	2	0.348490703637474	0.448122093847184	all-same	controls.between.sites PJ	2
2	2	0.327560567167211	0.270484832695917	all-same	controls.between.sites PP	2
2	2	0.738361607753743	0.0560688054286666	all-same	controls.between.sites glacier_forefield	2
2	2	0.711795469676292	0.0842640039001426	all-same	controls.between.sites litchfield_island	2
2	2	0.184280370635866	0.303343355237374	all-same	dim.C.between.sites GL	2
2	2	0.339164842150716	0.184870629222956	all-same	dim.C.between.sites MC	2
2	2	0.161934460483008	0.211995385802497	all-same	dim.C.between.sites PJ	2
2	2	0.313108443057738	0.150570817577863	all-same	dim.C.between.sites PP	2
2	2	0.0794403937538154	0.174718662282773	all-same	dim.CN.combine.sites GL	2
2	2	0.17081434467532	0.170551719130541	all-same	dim.CN.combine.sites MC	2
2	2	0.102993950511854	0.179858207856195	all-same	dim.CN.combine.sites PJ	2
2	2	0.0891937514303325	0.185449862621298	all-same	dim.CN.combine.sites PP	2
2	2	0.12783377548191	0.149526122204988	all-same	dim.compare.sites GL	2
2	2	0.141794649140177	0.0936055706744432	all-same	dim.compare.sites MC	2
2	2	0.130516142333283	0.134365307677978	all-same	dim.compare.sites PJ	2
2	2	0.205717677403375	0.145307044036922	all-same	dim.compare.sites PP	2
2	2	0.0820852189211698	0.109272041708048	all-same	dim.compare.treatments C	2
2	2	0.132737575549641	0.0629689666944657	all-same	dim.compare.treatments CN	2
2	2	0.557812644881845	0.270750805859549	all-same	dim.compare.treatments control	2
4	4	0.235210031882038	0.12979298576117	other-same	control.vs.carbon.additions C	2
4	4	0.393173447963594	0.0724095080277273	other-same	control.vs.carbon.additions CN	2
4	4	0.881993894250577	0.14368889756519	other-same	control.vs.carbon.additions control	2
4	4	0.967724634527876	0.0648736622360099	other-same	controls.between.experiments dim	2
4	4	0.879534951710711	0.122323037299286	other-same	controls.between.experiments qme	2
4	4	0.490394232627409	0.64415584821206	other-same	controls.between.sites GL	2
4	4	0.468159359405245	0.383672862166098	other-same	controls.between.sites MC	2
4	4	0.431868515009641	0.448122093847184	other-same	controls.between.sites PJ	2
4	4	0.58828221010319	0.270484832695917	other-same	controls.between.sites PP	2
4	4	0.926873726501687	0.0560688054286666	other-same	controls.between.sites glacier_forefield	2
4	4	0.905270152496198	0.0842640039001426	other-same	controls.between.sites litchfield_island	2
4	4	0.217842974257077	0.303343355237374	other-same	dim.C.between.sites GL	2
4	4	0.717393341359353	0.184870629222956	other-same	dim.C.between.sites MC	2
4	4	0.240861302497817	0.211995385802497	other-same	dim.C.between.sites PJ	2
4	4	0.579371796796296	0.150570817577863	other-same	dim.C.between.sites PP	2
4	4	0.129432771254113	0.174718662282773	other-same	dim.CN.combine.sites GL	2
4	4	0.292445833797681	0.170551719130541	other-same	dim.CN.combine.sites MC	2
4	4	0.160000788690975	0.179858207856195	other-same	dim.CN.combine.sites PJ	2
4	4	0.172703147781602	0.185449862621298	other-same	dim.CN.combine.sites PP	2
4	4	0.196944783338365	0.149526122204988	other-same	dim.compare.sites GL	2
4	4	0.406628269052931	0.0936055706744432	other-same	dim.compare.sites MC	2
4	4	0.191093335010771	0.134365307677978	other-same	dim.compare.sites PJ	2
4	4	0.379121585682711	0.145307044036922	other-same	dim.compare.sites PP	2
4	4	0.208190532674069	0.109272041708048	other-same	dim.compare.treatments C	2
4	4	0.394092063173882	0.0629689666944657	other-same	dim.compare.treatments CN	2
4	4	0.728227543671942	0.270750805859549	other-same	dim.compare.treatments control	2
