y	x	key	label	showSelected1	PANEL	group
2	-3.5	all-same	Diff Log MSE -0.0052 p=0.1876	control.vs.carbon.additions C	1	1
2	-3.5	all-same	Diff Log MSE 0.0302 p<0.0001	control.vs.carbon.additions CN	1	2
2	-3.5	all-same	Diff Log MSE 0.0687 p<0.0001	control.vs.carbon.additions control	1	3
2	-3.5	all-same	Diff Log MSE 0.4747 p<0.0001	controls.between.experiments dim	1	4
2	-3.5	all-same	Diff Log MSE 0.0658 p<0.0001	controls.between.experiments qme	1	5
2	-3.5	all-same	Diff Log MSE -0.0353 p=0.0118	controls.between.sites GL	1	6
2	-3.5	all-same	Diff Log MSE -0.0074 p=0.3672	controls.between.sites MC	1	9
2	-3.5	all-same	Diff Log MSE -0.0253 p=0.0042	controls.between.sites PJ	1	10
2	-3.5	all-same	Diff Log MSE 0.0121 p=0.0702	controls.between.sites PP	1	11
2	-3.5	all-same	Diff Log MSE 0.8095 p<0.0001	controls.between.sites glacier_forefield	1	7
2	-3.5	all-same	Diff Log MSE 0.5892 p<0.0001	controls.between.sites litchfield_island	1	8
2	-3.5	all-same	Diff Log MSE -0.0403 p=0.0011	dim.C.between.sites GL	1	12
2	-3.5	all-same	Diff Log MSE 0.0439 p=0.0020	dim.C.between.sites MC	1	13
2	-3.5	all-same	Diff Log MSE -0.0176 p=0.1681	dim.C.between.sites PJ	1	14
2	-3.5	all-same	Diff Log MSE 0.0510 p<0.0001	dim.C.between.sites PP	1	15
2	-3.5	all-same	Diff Log MSE -0.0384 p=0.0003	dim.CN.combine.sites GL	1	16
2	-3.5	all-same	Diff Log MSE 0.0001 p=0.9881	dim.CN.combine.sites MC	1	17
2	-3.5	all-same	Diff Log MSE -0.0334 p=0.0009	dim.CN.combine.sites PJ	1	18
2	-3.5	all-same	Diff Log MSE -0.0347 p=0.0001	dim.CN.combine.sites PP	1	19
2	-3.5	all-same	Diff Log MSE -0.0068 p=0.1429	dim.compare.sites GL	1	20
2	-3.5	all-same	Diff Log MSE 0.0106 p=0.0086	dim.compare.sites MC	1	21
2	-3.5	all-same	Diff Log MSE -0.0013 p=0.7666	dim.compare.sites PJ	1	22
2	-3.5	all-same	Diff Log MSE 0.0157 p=0.0006	dim.compare.sites PP	1	23
2	-3.5	all-same	Diff Log MSE -0.0056 p=0.1337	dim.compare.treatments C	1	24
2	-3.5	all-same	Diff Log MSE 0.0241 p<0.0001	dim.compare.treatments CN	1	25
2	-3.5	all-same	Diff Log MSE 0.0568 p<0.0001	dim.compare.treatments control	1	26
4	-3.5	other-same	Diff Log MSE 0.0230 p=0.0002	control.vs.carbon.additions C	1	27
4	-3.5	other-same	Diff Log MSE 0.1187 p<0.0001	control.vs.carbon.additions CN	1	28
4	-3.5	other-same	Diff Log MSE 0.1383 p<0.0001	control.vs.carbon.additions control	1	29
4	-3.5	other-same	Diff Log MSE 0.8539 p<0.0001	controls.between.experiments dim	1	30
4	-3.5	other-same	Diff Log MSE 0.3892 p<0.0001	controls.between.experiments qme	1	31
4	-3.5	other-same	Diff Log MSE -0.0256 p=0.0446	controls.between.sites GL	1	32
4	-3.5	other-same	Diff Log MSE 0.0148 p=0.0841	controls.between.sites MC	1	35
4	-3.5	other-same	Diff Log MSE -0.0041 p=0.5286	controls.between.sites PJ	1	36
4	-3.5	other-same	Diff Log MSE 0.0676 p<0.0001	controls.between.sites PP	1	37
4	-3.5	other-same	Diff Log MSE 1.0331 p<0.0001	controls.between.sites glacier_forefield	1	33
4	-3.5	other-same	Diff Log MSE 0.7708 p<0.0001	controls.between.sites litchfield_island	1	34
4	-3.5	other-same	Diff Log MSE -0.0290 p=0.0393	dim.C.between.sites GL	1	38
4	-3.5	other-same	Diff Log MSE 0.1514 p<0.0001	dim.C.between.sites MC	1	39
4	-3.5	other-same	Diff Log MSE 0.0102 p=0.4701	dim.C.between.sites PJ	1	40
4	-3.5	other-same	Diff Log MSE 0.1347 p<0.0001	dim.C.between.sites PP	1	41
4	-3.5	other-same	Diff Log MSE -0.0182 p=0.0149	dim.CN.combine.sites GL	1	42
4	-3.5	other-same	Diff Log MSE 0.0427 p=0.0055	dim.CN.combine.sites MC	1	43
4	-3.5	other-same	Diff Log MSE -0.0086 p=0.2785	dim.CN.combine.sites PJ	1	44
4	-3.5	other-same	Diff Log MSE -0.0046 p=0.5317	dim.CN.combine.sites PP	1	45
4	-3.5	other-same	Diff Log MSE 0.0148 p=0.0070	dim.compare.sites GL	1	46
4	-3.5	other-same	Diff Log MSE 0.0690 p<0.0001	dim.compare.sites MC	1	47
4	-3.5	other-same	Diff Log MSE 0.0194 p=0.0159	dim.compare.sites PJ	1	48
4	-3.5	other-same	Diff Log MSE 0.0609 p<0.0001	dim.compare.sites PP	1	49
4	-3.5	other-same	Diff Log MSE 0.0204 p=0.0006	dim.compare.treatments C	1	50
4	-3.5	other-same	Diff Log MSE 0.1143 p<0.0001	dim.compare.treatments CN	1	51
4	-3.5	other-same	Diff Log MSE 0.0905 p<0.0001	dim.compare.treatments control	1	52
