y	x	key	showSelected1	PANEL
5	-3.2789293326866	other	dim.CN.combine.sites PJ	1
3	-3.27028835923831	same	dim.CN.combine.sites PJ	1
1	-3.23764180805757	all	dim.CN.combine.sites PP	1
5	-3.20755974341656	other	dim.CN.combine.sites PP	1
3	-3.20296807449639	same	dim.CN.combine.sites PP	1
1	-3.46605381826552	all	dim.compare.sites GL	1
5	-3.44448062873891	other	dim.compare.sites GL	1
3	-3.45928249309391	same	dim.compare.sites GL	1
1	-3.48486643403095	all	dim.compare.sites MC	1
5	-3.42652528684961	other	dim.compare.sites MC	1
3	-3.49548217881528	same	dim.compare.sites MC	1
1	-3.41323315104274	all	dim.compare.sites PJ	1
5	-3.39251233356914	other	dim.compare.sites PJ	1
3	-3.41191651933685	same	dim.compare.sites PJ	1
1	-3.22649942138875	all	dim.compare.sites PP	1
5	-3.18135288956159	other	dim.compare.sites PP	1
3	-3.24222761695851	same	dim.compare.sites PP	1
1	-3.43512884316076	all	dim.compare.treatments C	1
5	-3.40916993633875	other	dim.compare.treatments C	1
3	-3.42953240809781	same	dim.compare.treatments C	1
1	-3.30311772953921	all	dim.compare.treatments CN	1
5	-3.21292147813363	other	dim.compare.treatments CN	1
3	-3.32719562864751	same	dim.compare.treatments CN	1
1	-3.44635553485894	all	dim.compare.treatments control	1
5	-3.41265592871995	other	dim.compare.treatments control	1
3	-3.5031221144319	same	dim.compare.treatments control	1
1	0.106165845464953	all	control.vs.carbon.additions C	2
1	0.153949033644707	all	control.vs.carbon.additions CN	2
1	0.510352653771082	all	control.vs.carbon.additions control	2
1	0.566812886937713	all	controls.between.experiments dim	2
1	0.250384821006122	all	controls.between.experiments qme	2
1	0.431520080639373	all	controls.between.sites GL	2
1	0.341630446532103	all	controls.between.sites MC	2
1	0.348490703637474	all	controls.between.sites PJ	2
1	0.327560567167211	all	controls.between.sites PP	2
1	0.738361607753743	all	controls.between.sites glacier_forefield	2
1	0.711795469676292	all	controls.between.sites litchfield_island	2
1	0.184280370635866	all	dim.C.between.sites GL	2
1	0.339164842150716	all	dim.C.between.sites MC	2
1	0.161934460483008	all	dim.C.between.sites PJ	2
1	0.313108443057738	all	dim.C.between.sites PP	2
1	0.0794403937538154	all	dim.CN.combine.sites GL	2
1	0.17081434467532	all	dim.CN.combine.sites MC	2
1	0.102993950511854	all	dim.CN.combine.sites PJ	2
1	0.0891937514303325	all	dim.CN.combine.sites PP	2
1	0.12783377548191	all	dim.compare.sites GL	2
1	0.141794649140177	all	dim.compare.sites MC	2
1	0.130516142333283	all	dim.compare.sites PJ	2
1	0.205717677403375	all	dim.compare.sites PP	2
1	0.0820852189211698	all	dim.compare.treatments C	2
1	0.132737575549641	all	dim.compare.treatments CN	2
1	0.557812644881845	all	dim.compare.treatments control	2
3	0.12979298576117	same	control.vs.carbon.additions C	2
3	0.0724095080277273	same	control.vs.carbon.additions CN	2
3	0.14368889756519	same	control.vs.carbon.additions control	2
3	0.0648736622360099	same	controls.between.experiments dim	2
3	0.122323037299286	same	controls.between.experiments qme	2
3	0.64415584821206	same	controls.between.sites GL	2
3	0.383672862166098	same	controls.between.sites MC	2
3	0.448122093847184	same	controls.between.sites PJ	2
3	0.270484832695917	same	controls.between.sites PP	2
3	0.0560688054286666	same	controls.between.sites glacier_forefield	2
3	0.0842640039001426	same	controls.between.sites litchfield_island	2
3	0.303343355237374	same	dim.C.between.sites GL	2
3	0.184870629222956	same	dim.C.between.sites MC	2
3	0.211995385802497	same	dim.C.between.sites PJ	2
3	0.150570817577863	same	dim.C.between.sites PP	2
3	0.174718662282773	same	dim.CN.combine.sites GL	2
3	0.170551719130541	same	dim.CN.combine.sites MC	2
3	0.179858207856195	same	dim.CN.combine.sites PJ	2
3	0.185449862621298	same	dim.CN.combine.sites PP	2
3	0.149526122204988	same	dim.compare.sites GL	2
3	0.0936055706744432	same	dim.compare.sites MC	2
3	0.134365307677978	same	dim.compare.sites PJ	2
3	0.145307044036922	same	dim.compare.sites PP	2
3	0.109272041708048	same	dim.compare.treatments C	2
3	0.0629689666944657	same	dim.compare.treatments CN	2
3	0.270750805859549	same	dim.compare.treatments control	2
5	0.235210031882038	other	control.vs.carbon.additions C	2
5	0.393173447963594	other	control.vs.carbon.additions CN	2
5	0.881993894250577	other	control.vs.carbon.additions control	2
5	0.967724634527876	other	controls.between.experiments dim	2
5	0.879534951710711	other	controls.between.experiments qme	2
5	0.490394232627409	other	controls.between.sites GL	2
5	0.468159359405245	other	controls.between.sites MC	2
5	0.431868515009641	other	controls.between.sites PJ	2
5	0.58828221010319	other	controls.between.sites PP	2
5	0.926873726501687	other	controls.between.sites glacier_forefield	2
5	0.905270152496198	other	controls.between.sites litchfield_island	2
5	0.217842974257077	other	dim.C.between.sites GL	2
5	0.717393341359353	other	dim.C.between.sites MC	2
5	0.240861302497817	other	dim.C.between.sites PJ	2
5	0.579371796796296	other	dim.C.between.sites PP	2
5	0.129432771254113	other	dim.CN.combine.sites GL	2
5	0.292445833797681	other	dim.CN.combine.sites MC	2
5	0.160000788690975	other	dim.CN.combine.sites PJ	2
5	0.172703147781602	other	dim.CN.combine.sites PP	2
5	0.196944783338365	other	dim.compare.sites GL	2
5	0.406628269052931	other	dim.compare.sites MC	2
5	0.191093335010771	other	dim.compare.sites PJ	2
5	0.379121585682711	other	dim.compare.sites PP	2
5	0.208190532674069	other	dim.compare.treatments C	2
5	0.394092063173882	other	dim.compare.treatments CN	2
5	0.728227543671942	other	dim.compare.treatments control	2
1	-3.26981253561299	all	control.vs.carbon.additions C	3
5	-3.26958178552979	other	control.vs.carbon.additions C	3
3	-3.26992646049647	same	control.vs.carbon.additions C	3
1	-3.02401681091669	all	control.vs.carbon.additions CN	3
5	-3.0153498239257	other	control.vs.carbon.additions CN	3
3	-3.03087222820908	same	control.vs.carbon.additions CN	3
1	-3.43332665694037	all	control.vs.carbon.additions control	3
5	-3.40400359116759	other	control.vs.carbon.additions control	3
3	-3.46672916411196	same	control.vs.carbon.additions control	3
1	-3.1028791428122	all	controls.between.experiments dim	3
5	-2.76030040944644	other	controls.between.experiments dim	3
3	-3.5737365989252	same	controls.between.experiments dim	3
1	-2.70774874526026	all	controls.between.experiments qme	3
5	-2.49704284865656	other	controls.between.experiments qme	3
3	-2.76250662127616	same	controls.between.experiments qme	3
1	-3.58915101232039	all	controls.between.sites GL	3
5	-3.58909623790102	other	controls.between.sites GL	3
3	-3.58919447798384	same	controls.between.sites GL	3
1	-3.57313640513309	all	controls.between.sites MC	3
5	-3.57312326284295	other	controls.between.sites MC	3
3	-3.57298422371579	same	controls.between.sites MC	3
1	-3.55582320285873	all	controls.between.sites PJ	3
5	-3.55554362838418	other	controls.between.sites PJ	3
3	-3.55622858637053	same	controls.between.sites PJ	3
1	-3.23362835423143	all	controls.between.sites PP	3
5	-3.2178043844727	other	controls.between.sites PP	3
3	-3.25336333085035	same	controls.between.sites PP	3
1	-3.79191628910474	all	controls.between.sites glacier_forefield	3
5	-3.75849603146378	other	controls.between.sites glacier_forefield	3
3	-4.58158641660719	same	controls.between.sites glacier_forefield	3
1	-3.78653430059891	all	controls.between.sites litchfield_island	3
5	-3.7414086879055	other	controls.between.sites litchfield_island	3
3	-4.54105470315351	same	controls.between.sites litchfield_island	3
1	-3.34596061455744	all	dim.C.between.sites GL	3
5	-3.34529566885999	other	dim.C.between.sites GL	3
3	-3.34708213453465	same	dim.C.between.sites GL	3
1	-3.48501819279873	all	dim.C.between.sites MC	3
5	-3.44202970933895	other	dim.C.between.sites MC	3
3	-3.52459844778125	same	dim.C.between.sites MC	3
1	-3.26653876619556	all	dim.C.between.sites PJ	3
5	-3.26499528916142	other	dim.C.between.sites PJ	3
3	-3.26920586756969	same	dim.C.between.sites PJ	3
1	-3.06413949222	all	dim.C.between.sites PP	3
5	-3.03188196829035	other	dim.C.between.sites PP	3
3	-3.10807103420811	same	dim.C.between.sites PP	3
1	-3.06482062928987	all	dim.CN.combine.sites GL	3
5	-3.06303952662167	other	dim.CN.combine.sites GL	3
3	-3.06696285035909	same	dim.CN.combine.sites GL	3
1	-3.14235497651101	all	dim.CN.combine.sites MC	3
5	-3.1399703260468	other	dim.CN.combine.sites MC	3
3	-3.14485173212	same	dim.CN.combine.sites MC	3
1	-2.95588855986889	all	dim.CN.combine.sites PJ	3
5	-2.95586655262089	other	dim.CN.combine.sites PJ	3
3	-2.95585097082495	same	dim.CN.combine.sites PJ	3
1	-2.95468436890135	all	dim.CN.combine.sites PP	3
5	-2.94942720977767	other	dim.CN.combine.sites PP	3
3	-2.96331813279248	same	dim.CN.combine.sites PP	3
1	-3.24098328513129	all	dim.compare.sites GL	3
5	-3.23995734913703	other	dim.compare.sites GL	3
3	-3.24246866542089	same	dim.compare.sites GL	3
1	-3.33384473350892	all	dim.compare.sites MC	3
5	-3.32615214208708	other	dim.compare.sites MC	3
3	-3.34226622937383	same	dim.compare.sites MC	3
1	-3.17646951550982	all	dim.compare.sites PJ	3
5	-3.17566988081442	other	dim.compare.sites PJ	3
3	-3.17767163242253	same	dim.compare.sites PJ	3
1	-3.06639508581389	all	dim.compare.sites PP	3
5	-3.05319171492182	other	dim.compare.sites PP	3
3	-3.08410198845212	same	dim.compare.sites PP	3
1	-3.26960054589055	all	dim.compare.treatments C	3
5	-3.26960428656796	other	dim.compare.treatments C	3
3	-3.26958655269255	same	dim.compare.treatments C	3
1	-3.02500470154134	all	dim.compare.treatments CN	3
5	-3.01805341872875	other	dim.compare.treatments CN	3
3	-3.0302448269613	same	dim.compare.treatments CN	3
1	-3.42245196650282	all	dim.compare.treatments control	3
5	-3.40440616824362	other	dim.compare.treatments control	3
3	-3.44554427843481	same	dim.compare.treatments control	3
1	0.862129296999136	all	control.vs.carbon.additions C	4
1	0.89282591925038	all	control.vs.carbon.additions CN	4
1	0.664174500715047	all	control.vs.carbon.additions control	4
1	0.61814374785458	all	controls.between.experiments dim	4
1	0.478333923440839	all	controls.between.experiments qme	4
1	0.71075362048949	all	controls.between.sites GL	4
1	0.669898159390309	all	controls.between.sites MC	4
1	0.613300824323329	all	controls.between.sites PJ	4
1	0.620789014756281	all	controls.between.sites PP	4
1	0.751492947751642	all	controls.between.sites glacier_forefield	4
1	0.925926773978613	all	controls.between.sites litchfield_island	4
1	0.813770501244918	all	dim.C.between.sites GL	4
1	0.67900177188391	all	dim.C.between.sites MC	4
1	0.780433782610299	all	dim.C.between.sites PJ	4
1	0.736376741752193	all	dim.C.between.sites PP	4
1	0.865512607431492	all	dim.CN.combine.sites GL	4
1	0.849488554228513	all	dim.CN.combine.sites MC	4
1	0.902365763156294	all	dim.CN.combine.sites PJ	4
1	0.874698510462874	all	dim.CN.combine.sites PP	4
1	0.848860741128675	all	dim.compare.sites GL	4
1	0.827342081217717	all	dim.compare.sites MC	4
1	0.822693291568492	all	dim.compare.sites PJ	4
1	0.820664527084626	all	dim.compare.sites PP	4
1	0.886202202943943	all	dim.compare.treatments C	4
1	0.938603526753839	all	dim.compare.treatments CN	4
1	0.6786901461004	all	dim.compare.treatments control	4
3	0.861608129455964	same	control.vs.carbon.additions C	4
3	0.874293970458205	same	control.vs.carbon.additions CN	4
3	0.485862050702885	same	control.vs.carbon.additions control	4
3	0.120306865618	same	controls.between.experiments dim	4
3	0.371797822578758	same	controls.between.experiments qme	4
3	0.710492123267489	same	controls.between.sites GL	4
3	0.670766915134342	same	controls.between.sites MC	4
3	0.611704681894816	same	controls.between.sites PJ	4
3	0.528039372314382	same	controls.between.sites PP	4
3	0.085890171213189	same	controls.between.sites glacier_forefield	4
3	0.122266809507427	same	controls.between.sites litchfield_island	4
3	0.810460183186903	same	dim.C.between.sites GL	4
3	0.539745701026195	same	dim.C.between.sites MC	4
3	0.772867300113466	same	dim.C.between.sites PJ	4
3	0.596493321895814	same	dim.C.between.sites PP	4
3	0.860190871610107	same	dim.CN.combine.sites GL	4
3	0.842360668855565	same	dim.CN.combine.sites MC	4
3	0.902452144789797	same	dim.CN.combine.sites PJ	4
3	0.850730727021401	same	dim.CN.combine.sites PP	4
3	0.844102236191914	same	dim.compare.sites GL	4
3	0.789113569391375	same	dim.compare.sites MC	4
3	0.819178909573903	same	dim.compare.sites PJ	4
3	0.752653851696606	same	dim.compare.sites PP	4
3	0.886270180252703	same	dim.compare.treatments C	4
3	0.923419633045643	same	dim.compare.treatments CN	4
3	0.56191507209838	same	dim.compare.treatments control	4
5	0.8631849000446	other	control.vs.carbon.additions C	4
5	0.916255004928029	other	control.vs.carbon.additions CN	4
5	0.820709687518557	other	control.vs.carbon.additions control	4
5	0.980351728901042	other	controls.between.experiments dim	4
5	0.888280150104044	other	controls.between.experiments qme	4
5	0.711083153214138	other	controls.between.sites GL	4
5	0.669973184582276	other	controls.between.sites MC	4
5	0.614401610782986	other	controls.between.sites PJ	4
5	0.69515786583093	other	controls.between.sites PP	4
5	0.779662452338082	other	controls.between.sites glacier_forefield	4
5	0.973991277166513	other	controls.between.sites litchfield_island	4
5	0.815733178499522	other	dim.C.between.sites GL	4
5	0.83024908702592	other	dim.C.between.sites MC	4
5	0.784812578285748	other	dim.C.between.sites PJ	4
5	0.839088655770616	other	dim.C.between.sites PP	4
5	0.869937247823234	other	dim.CN.combine.sites GL	4
5	0.8562963952131	other	dim.CN.combine.sites MC	4
5	0.90241633698929	other	dim.CN.combine.sites PJ	4
5	0.889292661169618	other	dim.CN.combine.sites PP	4
5	0.852147388681283	other	dim.compare.sites GL	4
5	0.8622618065091	other	dim.compare.sites MC	4
5	0.82503101907737	other	dim.compare.sites PJ	4
5	0.871377528116701	other	dim.compare.sites PP	4
5	0.886184031173399	other	dim.compare.treatments C	4
5	0.958745704832262	other	dim.compare.treatments CN	4
5	0.769945600874694	other	dim.compare.treatments control	4
