y	x	key	showSelected1	PANEL
1	-3.43506274978053	all	control.vs.carbon.additions C	1
5	-3.40685427039013	other	control.vs.carbon.additions C	1
3	-3.42989796306209	same	control.vs.carbon.additions C	1
1	-3.29734529003854	all	control.vs.carbon.additions CN	1
5	-3.20885037754578	other	control.vs.carbon.additions CN	1
3	-3.32750873804915	same	control.vs.carbon.additions CN	1
1	-3.46214144438423	all	control.vs.carbon.additions control	1
5	-3.3925234833303	other	control.vs.carbon.additions control	1
3	-3.53082699463826	same	control.vs.carbon.additions control	1
1	-3.15142821471467	all	controls.between.experiments dim	1
5	-2.77224319983983	other	controls.between.experiments dim	1
3	-3.62616569379534	same	controls.between.experiments dim	1
1	-2.82491098968306	all	controls.between.experiments qme	1
5	-2.50153774273924	other	controls.between.experiments qme	1
3	-2.89073272727106	same	controls.between.experiments qme	1
1	-3.6355647790615	all	controls.between.sites GL	1
5	-3.62577880865508	other	controls.between.sites GL	1
3	-3.60022079093517	same	controls.between.sites GL	1
1	-3.63063961721286	all	controls.between.sites MC	1
5	-3.60847533292241	other	controls.between.sites MC	1
3	-3.62327497595254	same	controls.between.sites MC	1
1	-3.62307889055035	all	controls.between.sites PJ	1
5	-3.60190284173645	other	controls.between.sites PJ	1
3	-3.59777480607325	same	controls.between.sites PJ	1
1	-3.29602057920196	all	controls.between.sites PP	1
5	-3.24054504968054	other	controls.between.sites PP	1
3	-3.30816497410897	same	controls.between.sites PP	1
1	-3.80749529101989	all	controls.between.sites glacier_forefield	1
5	-3.58384479842185	other	controls.between.sites glacier_forefield	1
3	-4.61696643987547	same	controls.between.sites glacier_forefield	1
1	-3.98757260667907	all	controls.between.sites litchfield_island	1
5	-3.80592787878541	other	controls.between.sites litchfield_island	1
3	-4.57673383792773	same	controls.between.sites litchfield_island	1
1	-3.559228869922	all	dim.C.between.sites GL	1
5	-3.54785801981374	other	dim.C.between.sites GL	1
3	-3.51889089833237	same	dim.C.between.sites GL	1
1	-3.58160882793922	all	dim.C.between.sites MC	1
5	-3.47410629431088	other	dim.C.between.sites MC	1
3	-3.62546332025968	same	dim.C.between.sites MC	1
1	-3.48455293495077	all	dim.C.between.sites PJ	1
5	-3.45673209628736	other	dim.C.between.sites PJ	1
3	-3.46690701258644	same	dim.C.between.sites PJ	1
1	-3.197070393219	all	dim.C.between.sites PP	1
5	-3.11344819041134	other	dim.C.between.sites PP	1
3	-3.24811667537129	same	dim.C.between.sites PP	1
1	-3.38124754610589	all	dim.CN.combine.sites GL	1
5	-3.36112352492632	other	dim.CN.combine.sites GL	1
3	-3.34289406124076	same	dim.CN.combine.sites GL	1
1	-3.38008097106917	all	dim.CN.combine.sites MC	1
5	-3.33747589441503	other	dim.CN.combine.sites MC	1
3	-3.38017296354207	same	dim.CN.combine.sites MC	1
1	-3.30373590855522	all	dim.CN.combine.sites PJ	1
